,list_countries,2022_tons,2023_tons,2024_tons,2022_mln_$,2023_mln_$,2024_mln_$,product,status
70,Denmark,18.0,12.0,15.0,1.352,1.086,1.261,lift,unfriendly
71,Sweden,460.0,113.0,15.0,5.768,1.278,0.329,lift,unfriendly
72,Bahrain,8.0,4.0,8.0,0.621,0.369,0.677,lift,friendly
73,Latvia,31.0,,5.0,0.393,0.0,0.074,lift,unfriendly
74,Armenia,,8.0,4.0,0.0,0.07,0.121,lift,friendly
75,Bulgaria,6.0,3.0,4.0,0.128,0.076,0.103,lift,unfriendly
76,Oman,2.0,3.0,4.0,0.172,0.293,0.398,lift,friendly
77,Australia,0.0,0.0,2.0,0.004,0.004,0.136,lift,unfriendly
78,Belgium,11.0,0.0,1.0,0.339,0.037,0.182,lift,unfriendly
79,Kyrgyzstan,,,1.0,0.0,0.0,0.011,lift,friendly
80,Netherlands,2.0,2.0,1.0,0.046,0.053,0.132,lift,unfriendly
81,Uzbekistan,,,1.0,0.0,0.0,0.006,lift,friendly
82,Austria,0.0,1.0,0.0,0.008,0.025,0.016,lift,unfriendly
83,Canada,0.0,0.0,0.0,0.036,0.035,0.061,lift,unfriendly
84,Georgia,0.0,0.0,0.0,0.004,0.001,0.008,lift,friendly
85,Israel,1.0,0.0,0.0,0.013,0.003,0.002,lift,friendly
86,Japan,0.0,0.0,0.0,0.022,0.006,0.014,lift,unfriendly
87,Lithuania,,0.0,0.0,0.0,0.001,0.001,lift,unfriendly
88,Slovakia,0.0,0.0,0.0,0.009,0.006,0.005,lift,unfriendly
89,Slovenia,,,0.0,0.0,0.0,0.002,lift,unfriendly
90,Thailand,,0.0,0.0,0.0,0.01,0.005,lift,friendly
91,European Union Nes,,,,0.0,0.0,0.0,lift,friendly
92,Brazil,0.0,,,0.001,0.0,0.0,lift,friendly
93,Chile,0.0,,,0.004,0.0,0.0,lift,friendly
94,Cyprus,,,,0.0,0.0,0.0,lift,unfriendly
95,Hungary,,,,0.0,0.0,0.0,lift,unfriendly
96,Indonesia,,0.0,,0.0,0.001,0.0,lift,friendly
97,Ireland,1.0,,,0.401,0.0,0.0,lift,unfriendly
98,"Korea, Republic of",1.0,1.0,,0.052,0.017,0.0,lift,unfriendly
99,Luxembourg,1.0,,,0.039,0.0,0.0,lift,unfriendly
100,Mexico,1.0,,,0.019,0.0,0.0,lift,friendly
101,Morocco,,0.0,,0.0,0.004,0.0,lift,friendly
102,Saudi Arabia,1.0,,,0.021,0.0,0.0,lift,friendly
103,Serbia,,,,0.0,0.0,0.0,lift,friendly
104,India,1.0,,,0.003,0.0,0.0,lift,friendly
105,Egypt,0.0,0.0,,0.009,0.005,0.0,lift,friendly
106,World,14997.0,9802.0,11329.0,292.719,190.851,207.273,bank,Nan
107,China,10842.0,6930.0,8141.0,195.111,130.686,140.849,bank,friendly
108,Germany,1753.0,1810.0,1580.0,23.674,28.409,23.844,bank,unfriendly
109,Hungary,1303.0,620.0,777.0,33.904,14.703,19.3,bank,unfriendly
110,Japan,36.0,12.0,279.0,2.084,0.664,6.675,bank,unfriendly
111,"Korea, Republic of",638.0,229.0,223.0,23.191,10.529,7.74,bank,unfriendly
112,India,223.0,97.0,131.0,5.583,1.401,2.5,bank,friendly
113,Viet Nam,,9.0,73.0,0.0,0.058,2.161,bank,friendly
